"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","109.77","110.41","111.43","108.61","224.79K","-0.47%"
"2022년 05월 23일","110.29","110.56","111.96","109.15","215.62K","-2.60%"
"2022년 05월 20일","113.23","111.45","114.04","110.85","20.00K","0.91%"
"2022년 05월 19일","112.21","109.09","112.62","105.13","68.51K","2.39%"
"2022년 05월 18일","109.59","113.66","115.42","108.46","103.67K","-2.50%"
"2022년 05월 17일","112.40","113.87","115.56","111.75","252.63K","-1.58%"
"2022년 05월 16일","114.20","110.98","114.90","108.11","289.13K","3.36%"
"2022년 05월 13일","110.49","106.65","110.64","106.29","240.99K","4.11%"
"2022년 05월 12일","106.13","105.63","107.37","102.66","323.55K","0.40%"
"2022년 05월 11일","105.71","99.00","106.44","98.20","382.70K","5.96%"
"2022년 05월 10일","99.76","102.65","104.16","98.86","389.75K","-3.23%"
"2022년 05월 09일","103.09","110.43","110.49","102.13","368.18K","-6.09%"
"2022년 05월 06일","109.77","108.70","111.18","107.24","294.28K","1.39%"
"2022년 05월 05일","108.26","107.58","111.37","106.45","286.92K","0.42%"
"2022년 05월 04일","107.81","103.50","108.61","102.95","272.91K","5.27%"
"2022년 05월 03일","102.41","105.08","105.80","102.10","239.27K","-2.62%"
"2022년 05월 02일","105.17","104.00","105.94","100.28","261.88K","0.46%"
"2022년 04월 29일","104.69","105.17","107.99","103.78","294.39K","-0.64%"
"2022년 04월 28일","105.36","102.11","105.68","100.13","312.06K","3.27%"
"2022년 04월 27일","102.02","101.76","102.99","99.80","278.78K","0.31%"
"2022년 04월 26일","101.70","98.64","102.78","97.06","351.85K","3.21%"
"2022년 04월 25일","98.54","101.38","101.55","95.28","328.15K","-3.46%"
"2022년 04월 22일","102.07","104.07","104.22","101.06","246.12K","-1.66%"
"2022년 04월 21일","103.79","102.50","105.42","102.01","280.32K","1.01%"
"2022년 04월 20일","102.75","103.05","104.16","100.70","17.02K","0.19%"
"2022년 04월 19일","102.56","107.75","108.92","102.10","71.79K","-5.22%"
"2022년 04월 18일","108.21","107.03","109.81","106.00","68.49K","1.18%"
"2022년 04월 14일","106.95","104.20","107.64","102.12","244.95K","2.59%"
"2022년 04월 13일","104.25","100.91","104.47","99.87","312.50K","3.63%"
"2022년 04월 12일","100.60","95.17","101.35","94.84","329.04K","6.69%"
"2022년 04월 11일","94.29","98.40","98.52","92.93","315.87K","-4.04%"
"2022년 04월 08일","98.26","97.17","98.76","95.29","310.08K","2.32%"
"2022년 04월 07일","96.03","97.16","98.82","93.81","367.32K","-0.21%"
"2022년 04월 06일","96.23","101.24","104.02","95.73","366.04K","-5.62%"
"2022년 04월 05일","101.96","103.66","105.59","99.88","280.28K","-1.28%"
"2022년 04월 04일","103.28","98.95","103.94","98.05","288.13K","4.04%"
"2022년 04월 01일","99.27","101.23","101.75","97.78","324.78K","-1.01%"
"2022년 03월 31일","100.28","107.45","107.80","99.66","450.85K","-6.99%"
"2022년 03월 30일","107.82","105.24","108.75","104.55","284.54K","3.43%"
"2022년 03월 29일","104.24","103.47","107.84","98.44","387.20K","-1.62%"
"2022년 03월 28일","105.96","112.92","112.93","102.83","372.25K","-6.97%"
"2022년 03월 25일","113.90","111.75","114.12","108.68","320.30K","1.39%"
"2022년 03월 24일","112.34","114.47","116.64","110.61","307.24K","-2.25%"
"2022년 03월 23일","114.93","108.85","115.40","108.38","289.18K","2.84%"
"2022년 03월 22일","111.76","112.90","115.01","109.30","22.94K","-0.32%"
"2022년 03월 21일","112.12","105.13","112.69","104.08","77.22K","7.09%"
"2022년 03월 18일","104.70","103.62","106.28","102.30","74.25K","1.67%"
"2022년 03월 17일","102.98","95.34","104.24","94.85","210.76K","8.35%"
"2022년 03월 16일","95.04","95.23","99.22","94.07","293.95K","-1.45%"
"2022년 03월 15일","96.44","102.28","102.58","93.53","401.69K","-6.38%"
"2022년 03월 14일","103.01","109.42","109.72","99.76","344.18K","-5.78%"
"2022년 03월 11일","109.33","105.99","110.29","104.48","368.19K","3.12%"
"2022년 03월 10일","106.02","110.41","114.88","105.53","437.92K","-2.47%"
"2022년 03월 09일","108.70","124.66","126.84","103.63","594.77K","-12.13%"
"2022년 03월 08일","123.70","120.67","129.44","117.07","583.11K","3.60%"
"2022년 03월 07일","119.40","121.33","130.50","115.54","576.02K","3.22%"
"2022년 03월 04일","115.68","107.96","116.02","107.25","493.88K","7.44%"
"2022년 03월 03일","107.67","111.33","116.57","106.43","592.03K","-2.65%"
"2022년 03월 02일","110.60","107.12","112.51","105.18","651.85K","6.95%"
"2022년 03월 01일","103.41","96.09","106.78","95.32","698.81K","8.03%"
"2022년 02월 28일","95.72","94.99","99.10","94.43","490.80K","4.51%"
"2022년 02월 25일","91.59","93.32","95.64","90.06","523.79K","-1.31%"
"2022년 02월 24일","92.81","92.52","100.54","91.45","872.24K","0.77%"
"2022년 02월 23일","92.10","91.74","93.90","90.64","440.57K","-0.27%"
"2022년 02월 22일","92.35","91.75","96.00","90.35","40.75K","-0.32%"
"2022년 02월 21일","92.65","91.62","93.91","89.08","-","1.12%"
"2022년 02월 20일","91.62","91.22","91.74","91.08","-","0.60%"
"2022년 02월 18일","91.07","91.63","92.66","89.03","150.38K","-0.75%"
"2022년 02월 17일","91.76","90.90","93.36","90.62","212.55K","-2.03%"
"2022년 02월 16일","93.66","92.21","95.01","90.00","401.45K","1.73%"
"2022년 02월 15일","92.07","94.83","95.17","90.66","442.64K","-3.55%"
"2022년 02월 14일","95.46","93.91","95.82","92.09","467.07K","2.53%"
"2022년 02월 11일","93.10","90.00","94.66","89.19","554.42K","3.58%"
"2022년 02월 10일","89.88","90.01","91.74","89.03","492.09K","0.25%"
"2022년 02월 09일","89.66","89.86","90.58","88.41","445.62K","0.34%"
"2022년 02월 08일","89.36","91.64","91.68","88.51","467.39K","-2.15%"
"2022년 02월 07일","91.32","91.82","92.73","90.73","497.75K","-1.07%"
"2022년 02월 04일","92.31","90.19","93.17","90.07","410.93K","2.26%"
"2022년 02월 03일","90.27","87.98","90.45","86.75","465.77K","2.28%"
"2022년 02월 02일","88.26","88.35","89.72","87.10","456.86K","0.07%"
"2022년 02월 01일","88.20","88.15","88.87","86.55","376.84K","0.06%"
"2022년 01월 31일","88.15","87.45","88.39","86.34","359.08K","1.53%"
"2022년 01월 28일","86.82","87.50","88.84","86.44","436.17K","0.24%"
"2022년 01월 27일","86.61","87.15","88.54","86.20","427.80K","-0.85%"
"2022년 01월 26일","87.35","85.26","87.95","85.01","459.64K","2.04%"
"2022년 01월 25일","85.60","84.15","85.71","82.99","507.22K","2.75%"
"2022년 01월 24일","83.31","84.91","86.09","81.90","511.70K","-2.15%"
"2022년 01월 21일","85.14","84.57","85.56","82.78","509.10K","-2.03%"
"2022년 01월 20일","86.90","86.23","87.82","86.00","30.39K","-0.07%"
"2022년 01월 19일","86.96","86.61","87.91","85.77","113.15K","1.79%"
"2022년 01월 18일","85.43","84.32","86.63","83.50","163.64K","2.08%"
"2022년 01월 17일","83.69","83.84","83.95","82.94","-","-0.17%"
"2022년 01월 16일","83.83","83.78","84.09","83.68","-","0.01%"
"2022년 01월 14일","83.82","81.73","84.45","81.58","364.44K","2.07%"
"2022년 01월 13일","82.12","82.82","82.94","81.39","364.77K","-0.63%"
"2022년 01월 12일","82.64","81.38","83.10","81.17","420.62K","1.75%"
"2022년 01월 11일","81.22","78.42","81.59","78.36","481.82K","3.82%"
"2022년 01월 10일","78.23","78.88","79.45","77.83","389.96K","-0.85%"
"2022년 01월 07일","78.90","79.62","80.47","78.52","414.43K","-0.70%"
"2022년 01월 06일","79.46","77.24","80.24","76.73","476.67K","2.07%"
"2022년 01월 05일","77.85","77.18","78.58","76.51","397.90K","1.12%"
"2022년 01월 04일","76.99","76.02","77.64","75.70","372.85K","1.20%"
"2022년 01월 03일","76.08","75.69","76.46","74.27","317.63K","1.16%"
"2021년 12월 31일","75.21","76.66","77.08","74.95","237.12K","-2.31%"
"2021년 12월 30일","76.99","76.58","77.44","75.78","231.16K","0.56%"
"2021년 12월 29일","76.56","76.04","77.37","75.36","283.56K","0.76%"
"2021년 12월 28일","75.98","75.97","76.92","75.53","249.73K","0.54%"
"2021년 12월 27일","75.57","73.38","76.09","72.57","268.49K","2.41%"
"2021년 12월 23일","73.79","73.03","73.95","72.27","270.22K","1.42%"
"2021년 12월 22일","72.76","71.27","73.16","70.80","306.71K","2.31%"
"2021년 12월 21일","71.12","69.21","71.55","68.56","358.78K","4.24%"
"2021년 12월 20일","68.23","70.07","70.07","66.04","36.73K","-3.71%"
"2021년 12월 17일","70.86","71.92","72.26","69.89","78.13K","-2.10%"
"2021년 12월 16일","72.38","71.48","72.99","71.03","142.54K","2.13%"
"2021년 12월 15일","70.87","70.35","71.66","69.39","294.34K","0.20%"
"2021년 12월 14일","70.73","71.12","72.03","69.51","359.45K","-0.79%"
"2021년 12월 13일","71.29","72.04","73.00","70.71","406.60K","-0.53%"
"2021년 12월 10일","71.67","70.68","72.33","70.32","397.88K","1.03%"
"2021년 12월 09일","70.94","72.52","73.34","70.39","393.21K","-1.96%"
"2021년 12월 08일","72.36","71.86","73.00","70.91","464.85K","0.43%"
"2021년 12월 07일","72.05","69.72","73.03","69.52","496.53K","3.68%"
"2021년 12월 06일","69.49","67.02","70.15","66.72","401.06K","4.87%"
"2021년 12월 03일","66.26","67.50","69.22","65.60","449.97K","-0.36%"
"2021년 12월 02일","66.50","65.63","67.49","62.43","668.29K","1.42%"
"2021년 12월 01일","65.57","67.01","69.49","64.84","602.45K","-0.92%"
"2021년 11월 30일","66.18","70.04","71.22","64.43","722.48K","-5.39%"
"2021년 11월 29일","69.95","69.23","72.93","68.86","675.09K","2.64%"
"2021년 11월 26일","68.15","78.34","78.65","67.40","844.63K","-11.96%"
"2021년 11월 25일","77.41","78.38","78.65","77.28","-","-1.25%"
"2021년 11월 24일","78.39","78.48","79.23","77.98","328.85K","-0.14%"
"2021년 11월 23일","78.50","76.46","78.86","75.30","506.99K","2.28%"
"2021년 11월 22일","76.75","75.75","77.16","74.76","465.77K","0.85%"
"2021년 11월 19일","76.10","78.76","79.92","75.37","30.70K","-3.68%"
"2021년 11월 18일","79.01","78.34","79.36","77.08","83.98K","0.83%"
"2021년 11월 17일","78.36","80.54","80.69","77.69","174.47K","-2.97%"
"2021년 11월 16일","80.76","80.93","81.81","80.03","325.67K","-0.15%"
"2021년 11월 15일","80.88","80.66","81.20","79.30","343.48K","0.11%"
"2021년 11월 12일","80.79","81.21","81.62","79.78","390.30K","-0.98%"
"2021년 11월 11일","81.59","81.41","82.33","80.20","475.44K","0.31%"
"2021년 11월 10일","81.34","84.53","84.97","80.81","555.22K","-3.34%"
"2021년 11월 09일","84.15","82.16","84.63","81.78","504.83K","2.71%"
"2021년 11월 08일","81.93","81.13","82.67","81.05","393.95K","0.81%"
"2021년 11월 05일","81.27","79.37","81.80","78.96","531.05K","3.12%"
"2021년 11월 04일","78.81","80.18","83.42","78.25","701.12K","-2.54%"
"2021년 11월 03일","80.86","83.07","83.08","79.69","546.58K","-3.63%"
"2021년 11월 02일","83.91","83.87","84.41","82.92","429.61K","-0.17%"
"2021년 11월 01일","84.05","83.36","84.88","82.74","412.31K","0.57%"
"2021년 10월 29일","83.57","83.09","83.74","81.41","507.31K","0.92%"
"2021년 10월 28일","82.81","82.25","83.21","80.58","491.59K","0.18%"
"2021년 10월 27일","82.66","84.39","84.51","82.01","529.95K","-2.35%"
"2021년 10월 26일","84.65","83.72","84.88","82.97","467.72K","1.06%"
"2021년 10월 25일","83.76","83.98","85.41","83.39","568.73K","0.00%"
"2021년 10월 22일","83.76","82.61","84.22","81.76","465.36K","1.53%"
"2021년 10월 21일","82.50","83.58","83.96","80.79","567.50K","-1.63%"
"2021년 10월 20일","83.87","83.34","84.25","81.30","25.72K","1.10%"
"2021년 10월 19일","82.96","82.37","83.74","81.80","82.61K","0.63%"
"2021년 10월 18일","82.44","82.60","83.87","81.84","134.10K","0.19%"
"2021년 10월 15일","82.28","81.48","82.66","81.39","277.95K","1.19%"
"2021년 10월 14일","81.31","80.59","81.68","80.38","399.81K","1.08%"
"2021년 10월 13일","80.44","80.58","81.04","79.42","487.22K","-0.25%"
"2021년 10월 12일","80.64","80.50","81.62","79.47","598.18K","0.15%"
"2021년 10월 11일","80.52","79.59","82.18","79.55","653.76K","1.47%"
"2021년 10월 08일","79.35","78.86","80.11","78.63","662.01K","1.34%"
"2021년 10월 07일","78.30","77.00","78.89","74.96","545.01K","1.12%"
"2021년 10월 06일","77.43","79.04","79.78","76.83","459.06K","-1.90%"
"2021년 10월 05일","78.93","77.58","79.48","77.47","449.62K","1.69%"
"2021년 10월 04일","77.62","75.90","78.38","75.32","458.01K","2.29%"
"2021년 10월 01일","75.88","75.12","75.99","74.23","389.00K","1.13%"
"2021년 09월 30일","75.03","74.78","76.07","73.14","583.19K","0.27%"
"2021년 09월 29일","74.83","74.38","75.79","73.74","424.19K","-0.61%"
"2021년 09월 28일","75.29","75.43","76.67","74.24","476.14K","-0.21%"
"2021년 09월 27일","75.45","74.19","75.75","74.16","417.83K","1.99%"
"2021년 09월 24일","73.98","73.24","74.27","72.81","350.38K","0.93%"
"2021년 09월 23일","73.30","71.97","73.50","71.61","403.41K","1.48%"
"2021년 09월 22일","72.23","70.85","72.30","70.64","381.06K","2.37%"
"2021년 09월 21일","70.56","70.59","71.63","69.67","37.61K","0.38%"
"2021년 09월 20일","70.29","71.92","72.08","69.86","75.84K","-2.33%"
"2021년 09월 17일","71.97","72.62","72.72","71.21","119.93K","-0.88%"
"2021년 09월 16일","72.61","72.65","72.99","71.53","298.41K","0.00%"
"2021년 09월 15일","72.61","70.76","73.14","70.65","418.67K","3.05%"
"2021년 09월 14일","70.46","70.64","71.22","69.98","414.23K","0.01%"
"2021년 09월 13일","70.45","69.74","70.97","69.51","390.94K","1.05%"
"2021년 09월 10일","69.72","67.97","69.96","67.68","411.08K","2.32%"
"2021년 09월 09일","68.14","69.36","69.89","67.56","556.45K","-1.67%"
"2021년 09월 08일","69.30","68.37","69.75","68.31","389.33K","1.39%"
"2021년 09월 07일","68.35","69.11","69.48","67.64","481.70K","-0.65%"
"2021년 09월 06일","68.80","68.75","69.47","68.27","-","0.07%"
"2021년 09월 05일","68.75","69.22","69.23","68.73","-","-0.78%"
"2021년 09월 03일","69.29","69.76","70.53","69.05","313.09K","-1.00%"
"2021년 09월 02일","69.99","68.29","70.61","67.84","403.31K","2.04%"
"2021년 09월 01일","68.59","68.55","69.24","67.12","399.50K","0.13%"
"2021년 08월 31일","68.50","69.18","69.34","68.16","325.85K","-1.03%"
"2021년 08월 30일","69.21","69.30","69.64","67.67","360.80K","0.68%"
"2021년 08월 27일","68.74","67.75","69.05","67.52","326.06K","1.96%"
"2021년 08월 26일","67.42","68.00","68.31","67.02","344.29K","-1.38%"
"2021년 08월 25일","68.36","67.63","68.54","66.92","353.74K","1.21%"
"2021년 08월 24일","67.54","65.54","67.80","65.41","335.89K","2.89%"
"2021년 08월 23일","65.64","61.96","66.00","61.74","397.29K","5.33%"
"2021년 08월 20일","62.32","64.05","64.10","62.11","24.63K","-2.15%"
"2021년 08월 19일","63.69","64.58","64.76","62.63","88.24K","-2.70%"
"2021년 08월 18일","65.46","66.58","67.48","64.34","121.20K","-1.70%"
"2021년 08월 17일","66.59","67.43","67.72","66.33","235.30K","-1.04%"
"2021년 08월 16일","67.29","67.71","68.27","65.73","334.84K","-1.68%"
"2021년 08월 13일","68.44","68.91","69.22","67.77","272.03K","-0.94%"
"2021년 08월 12일","69.09","69.36","69.62","68.46","352.47K","-0.23%"
"2021년 08월 11일","69.25","68.51","69.45","66.67","513.29K","1.41%"
"2021년 08월 10일","68.29","66.85","68.90","66.56","452.13K","2.72%"
"2021년 08월 09일","66.48","67.88","67.90","65.15","598.38K","-2.64%"
"2021년 08월 06일","68.28","69.14","70.18","67.80","537.14K","-1.17%"
"2021년 08월 05일","69.09","68.06","69.35","67.61","416.33K","1.38%"
"2021년 08월 04일","68.15","70.32","70.81","67.85","582.92K","-3.42%"
"2021년 08월 03일","70.56","71.52","71.96","69.19","509.94K","-0.98%"
"2021년 08월 02일","71.26","73.91","73.95","70.55","448.20K","-3.64%"
"2021년 07월 30일","73.95","73.41","74.23","72.93","303.70K","0.45%"
"2021년 07월 29일","73.62","72.40","73.68","72.26","294.46K","1.70%"
"2021년 07월 28일","72.39","71.90","72.60","71.70","318.91K","1.03%"
"2021년 07월 27일","71.65","72.22","72.33","71.08","333.12K","-0.36%"
"2021년 07월 26일","71.91","72.18","72.43","70.56","395.74K","-0.22%"
"2021년 07월 23일","72.07","71.71","72.21","71.39","274.78K","0.22%"
"2021년 07월 22일","71.91","70.22","72.03","69.86","435.18K","2.29%"
"2021년 07월 21일","70.30","66.45","70.51","66.44","503.03K","4.27%"
"2021년 07월 20일","67.42","66.60","67.65","65.21","29.74K","1.51%"
"2021년 07월 19일","66.42","71.49","71.67","65.63","82.57K","-7.51%"
"2021년 07월 16일","71.81","71.48","72.30","70.41","133.93K","0.22%"
"2021년 07월 15일","71.65","72.96","72.96","71.40","368.68K","-2.02%"
"2021년 07월 14일","73.13","75.17","75.44","72.21","528.36K","-2.82%"
"2021년 07월 13일","75.25","74.18","75.52","73.68","444.08K","1.55%"
"2021년 07월 12일","74.10","74.74","74.93","73.16","397.93K","-0.62%"
"2021년 07월 09일","74.56","73.26","74.76","72.72","422.15K","2.22%"
"2021년 07월 08일","72.94","72.17","73.26","70.76","529.69K","1.02%"
"2021년 07월 07일","72.20","73.85","74.86","71.07","607.97K","-1.59%"
"2021년 07월 06일","73.37","75.35","76.98","72.94","714.04K","-3.78%"
"2021년 07월 05일","76.25","75.15","76.40","74.75","-","1.48%"
"2021년 07월 04일","75.14","75.22","75.28","75.00","-","-0.03%"
"2021년 07월 02일","75.16","75.02","75.62","74.41","377.53K","-0.09%"
"2021년 07월 01일","75.23","73.50","76.22","73.39","615.68K","2.40%"
"2021년 06월 30일","73.47","73.47","74.14","72.82","383.63K","0.67%"
"2021년 06월 29일","72.98","72.78","73.81","71.97","321.45K","0.10%"
"2021년 06월 28일","72.91","73.99","74.45","72.62","354.70K","-1.54%"
"2021년 06월 25일","74.05","73.32","74.18","72.85","364.72K","1.02%"
"2021년 06월 24일","73.30","73.28","73.61","72.32","334.83K","0.30%"
"2021년 06월 23일","73.08","72.91","74.25","72.82","429.21K","0.03%"
"2021년 06월 22일","73.06","73.41","73.95","72.94","29.00K","-0.81%"
"2021년 06월 21일","73.66","71.52","73.96","71.15","123.66K","2.82%"
"2021년 06월 18일","71.64","71.10","72.17","70.16","139.58K","0.84%"
"2021년 06월 17일","71.04","71.65","72.30","69.77","373.78K","-1.54%"
"2021년 06월 16일","72.15","72.45","72.99","71.61","426.78K","0.04%"
"2021년 06월 15일","72.12","71.16","72.49","70.81","336.04K","1.75%"
"2021년 06월 14일","70.88","70.65","71.78","70.65","319.64K","-0.04%"
"2021년 06월 11일","70.91","70.10","71.24","69.68","563.58K","0.88%"
"2021년 06월 10일","70.29","69.76","70.65","68.68","492.46K","0.47%"
"2021년 06월 09일","69.96","70.01","70.62","69.46","410.82K","-0.13%"
"2021년 06월 08일","70.05","69.29","70.27","68.47","441.30K","1.18%"
"2021년 06월 07일","69.23","69.52","70.00","68.93","365.62K","-0.56%"
"2021년 06월 04일","69.62","68.91","69.76","68.33","326.25K","1.18%"
"2021년 06월 03일","68.81","68.76","69.40","68.19","351.37K","-0.03%"
"2021년 06월 02일","68.83","67.99","69.00","67.78","333.00K","1.64%"
"2021년 06월 01일","67.72","66.68","68.87","66.41","570.99K","1.14%"
"2021년 05월 31일","66.96","66.58","67.41","66.41","-","0.56%"
"2021년 05월 30일","66.59","66.70","66.75","66.53","-","0.41%"
"2021년 05월 28일","66.32","66.95","67.52","66.17","390.46K","-0.79%"
"2021년 05월 27일","66.85","66.16","66.92","65.47","337.54K","0.97%"
"2021년 05월 26일","66.21","66.04","66.43","65.25","376.21K","0.21%"
"2021년 05월 25일","66.07","66.02","66.51","65.41","497.39K","0.03%"
"2021년 05월 24일","66.05","63.87","66.14","63.63","466.65K","3.88%"
"2021년 05월 21일","63.58","61.89","64.07","61.56","530.83K","2.47%"
"2021년 05월 20일","62.05","63.39","63.96","61.89","29.62K","-2.07%"
"2021년 05월 19일","63.36","65.28","65.35","61.95","101.90K","-3.25%"
"2021년 05월 18일","65.49","66.33","67.01","64.11","167.35K","-1.18%"
"2021년 05월 17일","66.27","65.50","66.43","64.83","268.48K","1.38%"
"2021년 05월 14일","65.37","63.83","65.62","63.33","383.75K","2.43%"
"2021년 05월 13일","63.82","65.75","65.81","63.09","547.69K","-3.42%"
"2021년 05월 12일","66.08","65.46","66.63","64.97","508.52K","1.23%"
"2021년 05월 11일","65.28","64.90","65.50","63.68","514.95K","0.55%"
"2021년 05월 10일","64.92","65.57","65.75","63.95","448.34K","0.03%"
"2021년 05월 07일","64.90","64.90","65.24","63.90","431.42K","0.29%"
"2021년 05월 06일","64.71","65.27","65.98","64.50","389.21K","-1.40%"
"2021년 05월 05일","65.63","66.45","66.76","64.92","460.07K","-0.09%"
"2021년 05월 04일","65.69","64.53","66.19","64.29","370.21K","1.86%"
"2021년 05월 03일","64.49","63.64","64.68","62.91","285.97K","1.43%"
"2021년 04월 30일","63.58","64.88","64.95","63.08","400.52K","-2.20%"
"2021년 04월 29일","65.01","63.70","65.47","63.65","384.49K","1.80%"
"2021년 04월 28일","63.86","63.04","64.53","62.67","387.68K","1.46%"
"2021년 04월 27일","62.94","61.97","63.30","61.91","361.54K","1.66%"
"2021년 04월 26일","61.91","62.06","62.31","60.66","366.87K","-0.37%"
"2021년 04월 23일","62.14","61.65","62.43","61.25","345.41K","1.16%"
"2021년 04월 22일","61.43","61.11","61.87","60.61","344.70K","0.13%"
"2021년 04월 21일","61.35","62.39","62.56","60.86","431.49K","-1.75%"
"2021년 04월 20일","62.44","63.47","64.25","61.50","33.04K","-1.48%"
"2021년 04월 19일","63.38","62.98","63.63","62.63","74.38K","0.40%"
"2021년 04월 16일","63.13","63.32","63.88","62.83","87.80K","-0.52%"
"2021년 04월 15일","63.46","62.83","63.57","62.53","243.37K","0.49%"
"2021년 04월 14일","63.15","60.44","63.44","60.38","419.81K","4.94%"
"2021년 04월 13일","60.18","59.64","60.59","59.64","349.73K","0.80%"
"2021년 04월 12일","59.70","59.35","60.77","58.73","410.22K","0.64%"
"2021년 04월 09일","59.32","59.76","59.95","59.10","351.44K","-0.47%"
"2021년 04월 08일","59.60","59.52","59.93","58.82","419.91K","-0.28%"
"2021년 04월 07일","59.77","59.26","60.04","58.12","475.54K","0.74%"
"2021년 04월 06일","59.33","58.80","60.90","58.62","457.35K","1.16%"
"2021년 04월 05일","58.65","61.50","61.50","57.63","438.86K","-4.56%"
"2021년 04월 01일","61.45","59.49","61.75","58.86","605.57K","3.87%"
"2021년 03월 31일","59.16","60.45","61.17","58.85","414.16K","-2.30%"
"2021년 03월 30일","60.55","61.96","62.27","59.94","388.19K","-1.64%"
"2021년 03월 29일","61.56","60.93","61.77","59.41","449.36K","0.97%"
"2021년 03월 26일","60.97","58.48","61.36","58.32","472.00K","4.12%"
"2021년 03월 25일","58.56","60.80","60.86","57.44","580.11K","-4.28%"
"2021년 03월 24일","61.18","57.40","61.34","57.29","566.29K","5.92%"
"2021년 03월 23일","57.76","61.28","61.35","57.25","712.32K","-6.16%"
"2021년 03월 22일","61.55","61.55","61.90","60.39","28.26K","0.21%"
"2021년 03월 19일","61.42","59.56","61.72","58.94","84.17K","2.37%"
"2021년 03월 18일","60.00","64.42","64.82","58.20","143.60K","-7.12%"
"2021년 03월 17일","64.60","64.75","65.34","63.60","254.72K","-0.31%"
"2021년 03월 16일","64.80","65.33","65.43","63.80","317.54K","-0.90%"
"2021년 03월 15일","65.39","65.56","66.40","64.13","378.01K","-0.34%"
"2021년 03월 12일","65.61","65.96","66.24","65.41","321.71K","-0.62%"
"2021년 03월 11일","66.02","64.70","66.21","64.54","441.06K","2.45%"
"2021년 03월 10일","64.44","63.84","64.96","63.13","498.49K","0.67%"
"2021년 03월 09일","64.01","64.73","65.98","63.63","554.56K","-1.60%"
"2021년 03월 08일","65.05","66.68","67.98","64.57","533.38K","-1.57%"
"2021년 03월 05일","66.09","64.16","66.42","63.82","573.17K","3.54%"
"2021년 03월 04일","63.83","61.08","64.86","60.52","694.63K","4.16%"
"2021년 03월 03일","61.28","59.55","61.99","59.24","465.31K","2.56%"
"2021년 03월 02일","59.75","60.23","61.21","59.38","464.13K","-1.47%"
"2021년 03월 01일","60.64","61.95","62.92","59.96","456.68K","-1.40%"
"2021년 02월 26일","61.50","63.46","63.57","61.34","472.72K","-3.20%"
"2021년 02월 25일","63.53","63.39","63.81","62.65","510.36K","0.49%"
"2021년 02월 24일","63.22","61.29","63.51","60.97","489.93K","2.51%"
"2021년 02월 23일","61.67","62.16","63.00","60.67","570.68K","0.29%"
"2021년 02월 22일","61.49","58.88","61.84","58.82","37.04K","3.80%"
"2021년 02월 19일","59.24","60.20","60.29","58.59","102.43K","-2.12%"
"2021년 02월 18일","60.52","61.68","62.26","59.79","132.04K","-1.01%"
"2021년 02월 17일","61.14","60.24","61.73","59.43","335.42K","1.82%"
"2021년 02월 16일","60.05","59.98","60.95","59.33","602.33K","-0.07%"
"2021년 02월 15일","60.09","60.36","60.95","59.96","-","-0.46%"
"2021년 02월 14일","60.37","60.01","60.75","60.01","-","1.51%"
